https://www.realmeye.com/number-of-active-players-by-rank,,,,
A new entry is automatically added every twelve hours.,,,,
Historical data from 059,,,,
Sheet by Marv,,,,
Time,Date,Players,Change/24H,Notes
7:44:00,2015-01-21,138648,,
20:58:00,2015-04-15,133052,-66,
1:17:00,2015-06-02,134886,39,
15:17:00,2015-07-24,125492,-179,
15:17:00,2015-07-25,124853,-639,
3:17:00,2015-07-27,124100,-502,
15:17:00,2015-07-27,123964,-272,
13:13:00,2015-07-30,123077,-304,
21:47:00,2015-07-31,122451,-461,
13:02:00,2015-08-01,122291,-252,
13:55:00,2015-08-02,121796,-477,
14:50:00,2015-08-03,121460,-324,
15:24:00,2015-08-05,120696,-378,
21:12:00,2015-08-07,119804,-398,
22:28:00,2015-08-08,119925,115,
18:03:00,2015-08-09,119830,-116,
15:35:00,2015-08-13,119028,-206,
13:11:00,2015-08-14,118684,-382,
19:42:00,2015-08-15,119329,507,
14:04:00,2015-08-16,119162,-218,
13:50:00,2015-08-17,119246,85,
13:29:00,2015-08-18,118849,-403,
13:46:00,2015-08-19,117973,-866,
18:45:00,2015-08-21,117415,-253,
13:09:00,2015-08-22,117760,450,
17:04:00,2015-08-24,117305,-210,
15:21:00,2015-08-25,116454,-917,
17:44:00,2015-08-27,115009,-688,
15:56:00,2015-08-28,114575,-469,
17:31:00,2015-08-31,113784,-258,
18:43:00,2015-09-05,111130,-526,
16:05:00,2015-09-11,108303,-480,
15:00:00,2015-09-13,109483,604,
14:34:00,2015-09-17,108192,-324,
14:00:00,2015-09-19,108881,349,
16:05:00,2015-09-21,107751,-541,
16:48:00,2015-09-22,107437,-305,
16:31:00,2015-09-23,107934,503,
15:27:00,2015-09-24,108444,534,
13:44:00,2015-09-25,108588,155,
14:03:00,2015-09-26,109510,910,
15:38:00,2015-09-28,109344,-80,
11:57:00,2015-09-30,109543,108,
13:42:00,2015-10-01,109815,254,
13:09:00,2015-10-02,110000,189,
16:07:00,2015-10-06,111429,347,
13:15:00,2015-10-08,111486,30,
2:29:00,2015-10-10,112436,612,
12:19:00,2015-10-16,114004,245,
15:44:00,2015-10-17,114220,189,
18:18:00,2015-10-19,113670,-261,
17:11:00,2015-10-20,114406,772,
18:41:00,2015-10-21,114635,216,
17:10:00,2015-10-23,115016,197,
14:26:00,2015-10-24,115288,307,
21:04:00,2015-10-28,116982,396,
14:09:00,2015-11-05,119119,277,
17:29:00,2015-11-14,123531,483,
14:38:00,2015-11-15,131157,8654,
1:17:00,2015-11-16,133407,5070,
13:13:00,2015-11-16,134443,2084,
12:40:00,2015-11-17,137134,2754,
15:09:00,2015-11-18,139820,2434,
13:01:00,2015-11-19,141339,1667,
15:09:00,2015-11-20,143359,1855,
16:05:00,2015-11-21,145809,2358,
14:10:00,2015-11-24,150063,1457,
12:46:00,2015-11-25,151609,1642,
13:37:00,2015-11-26,153069,1410,
15:45:00,2015-11-29,150176,-937,
13:19:00,2015-12-03,144312,-1504,
15:15:00,2015-12-05,140575,-1796,
17:42:00,2015-12-07,137665,-1384,
13:29:00,2015-12-08,136955,-861,
15:21:00,2015-12-20,137589,52,
15:40:00,2015-12-27,140688,442,
21:53:00,2016-01-07,129115,-1028,
16:43:00,2016-01-15,124195,-632,
12:49:00,2016-02-05,129228,242,
2:06:00,2016-04-07,124479,-77,
20:00:00,2016-05-24,118152,-133,
15:25:00,2016-07-14,115983,-43,
3:39:00,2016-07-23,131652,1841,
1:16:00,2016-07-24,133391,1931,
21:15:00,2016-08-10,153333,1118,
15:52:00,2016-08-12,150883,-1380,
20:32:00,2016-08-22,145654,-513,
16:03:00,2016-09-01,139922,-584,
16:25:00,2016-09-04,135181,-1572,
0:56:00,2016-09-13,127560,-912,
1:41:00,2016-09-27,111348,-1155,
14:44:00,2016-11-20,100752,-194,
11:49:00,2016-12-08,101725,54,
15:31:00,2016-12-17,102574,93,
12:41:00,2016-12-21,105364,719,
23:14:00,2017-01-05,115964,687,
14:55:00,2017-01-10,110014,-1279,
13:36:00,2017-01-26,98624,-714,
19:03:00,2017-01-27,98707,68,
17:46:00,2017-01-29,97705,-515,
3:45:00,2017-02-05,95349,-367,
2:08:00,2017-02-09,94414,-238,
23:02:00,2017-02-15,98437,586,
9:58:00,2017-02-19,100117,486,
17:21:00,2017-02-25,102707,411,
23:27:00,2017-02-27,101730,-433,
15:45:00,2017-03-05,106277,801,
12:27:00,2017-03-06,105406,-1010,
10:07:00,2017-03-16,108749,338,
1:28:00,2017-03-19,109343,225,
7:13:00,2017-03-21,108534,-361,
20:09:00,2017-03-28,106380,-286,
17:56:00,2017-03-29,106671,321,
0:06:00,2017-04-13,107997,93,
